date,coffee,oil,wheat
1/1/1990,75.82998657,22.641,167.9185791
2/1/1990,84.01000977,22.108,160.9372711
3/1/1990,93.95999146,20.418,156.5280304
4/1/1990,93.73001099,18.582,159.4675293
5/1/1990,92.01998901,18.237,149.1792908
6/1/1990,88.26000977,16.871,135.584137
7/1/1990,86.48001099,18.638,124.9284744
8/1/1990,94.42001343,27.174,116.8448563
9/1/1990,94.92001343,33.687,114.2728119
10/1/1990,91.41000366,35.922,114.6402435
11/1/1990,84.83999634,32.3,112.8030701
12/1/1990,89.89001465,27.337,113.1704941
1/1/1991,86.32000732,24.959,111.3333206
2/1/1991,89.57000732,20.523,113.9053726
3/1/1991,93.72000122,19.86,119.4169235
4/1/1991,92.26998901,20.823,120.8866653
5/1/1991,87.58999634,21.24,122.0367508
6/1/1991,85.5,20.195,120.1517944
7/1/1991,82.80825806,21.42,118.2095871
8/1/1991,81.61880493,21.688,125.3268433
9/1/1991,87.45098877,21.857,135.372879
10/1/1991,79.86181641,23.228,146.8871918
11/1/1991,78.51779175,22.465,149.5365295
12/1/1991,75.09667969,19.517,160.8366699
1/1/1992,72.990448,18.82,169.9547729
2/1/1992,67.8821106,18.995,177.1306
3/1/1992,70.14334106,18.916,169.3507385
4/1/1992,65.42999268,20.243,159.9311981
5/1/1992,60.25699997,20.94,149.6891174
6/1/1992,58.37545395,22.375,148.6657257
7/1/1992,57.68227386,21.759,136.3190155
8/1/1992,52.42476273,21.35,128.1684875
9/1/1992,52.72618866,21.902,138.7357941
10/1/1992,61.39545441,21.688,140.5812836
11/1/1992,67.13278198,20.342,147.5741882
12/1/1992,77.4645462,19.407,147.827652
1/1/1993,68.65899658,19.075,155.6507721
2/1/1993,67.46157837,20.053,148.8843842
3/1/1993,62.76913071,20.347,147.8996582
4/1/1993,56.88047791,20.27,141.9924011
5/1/1993,61.47600174,19.94,136.5808105
6/1/1993,61.98545456,19.07,121.8177872
7/1/1993,71.55666351,17.866,127.5223999
8/1/1993,76.557724,18.009,129.7970123
9/1/1993,79.81782532,17.514,131.2943115
10/1/1993,75.05142975,18.145,135.9561615
11/1/1993,77.0684967,16.699,146.5016022
12/1/1993,80.00428772,14.51,158.6453857
1/1/1994,77.20952606,15,153.2079773
2/1/1994,82.16473389,14.78,147.0375214
3/1/1994,85.56912994,14.66,141.0437775
4/1/1994,89.22842407,16.38,140.4526672
5/1/1994,121.9842834,17.88,140.1473541
6/1/1994,142.5604553,19.07,139.3044281
7/1/1994,217.6670074,19.65,137.6004486
8/1/1994,198.0730438,18.38,146.0241241
9/1/1994,220.1023865,17.46,158.785141
10/1/1994,198.6757202,17.71,167.1880646
11/1/1994,181.6443634,18.1,161.9867706
12/1/1994,167.4733276,17.16,164.6217499
1/1/1995,172.3336792,17.99,156.213089
2/1/1995,168.7110596,18.53,154.420105
3/1/1995,178.2169495,18.55,150.3859863
4/1/1995,172.807373,19.87,148.978653
5/1/1995,168.8331757,19.74,158.611557
6/1/1995,152.2459106,18.42,169.9807892
7/1/1995,143.8331604,17.3,190.0852814
8/1/1995,151.4121704,18.03,184.3932953
9/1/1995,131.8699951,18.23,193.6712799
10/1/1995,125.3804626,17.44,203.791748
11/1/1995,123.2310028,17.99,204.0673218
12/1/1995,103.9921036,19.04,208.924942
1/1/1996,109.3799973,18.88,196.4283017
2/1/1996,123.7900009,19.07,206.166964
3/1/1996,119.0461884,21.36,205.2571208
4/1/1996,122.0080872,23.57,239.5162157
5/1/1996,128.5595398,21.25,248.5948683
6/1/1996,127.9079971,20.45,215.2260275
7/1/1996,120.4719086,21.32,196.3869106
8/1/1996,122.4850006,21.96,181.4970117
9/1/1996,114.0459976,23.99,170.9805289
10/1/1996,120.619133,24.9,169.5959849
11/1/1996,119.6105576,23.71,169.2658244
12/1/1996,115.0052567,25.39,167.8310717
1/1/1997,131.8300018,25.17,167.7907526
2/1/1997,167.1999969,22.21,164.1707027
3/1/1997,193.8164978,20.99,167.7085929
4/1/1997,204.4282074,19.72,175.56792
5/1/1997,264.495697,20.83,168.402905
6/1/1997,212.5514069,19.17,141.2006619
7/1/1997,186.5195007,19.63,130.4080657
8/1/1997,185.1710052,19.93,139.3459816
9/1/1997,184.3800049,19.79,138.239695
10/1/1997,161.4465179,21.26,136.2071748
11/1/1997,154.1477814,20.17,135.3820398
12/1/1997,174.2542114,18.32,129.7291066
1/1/1998,175.0352631,16.71,127.3502083
2/1/1998,175.8736877,16.06,128.308884
3/1/1998,154.8209076,15.02,128.2353967
4/1/1998,147.0828552,15.44,118.197695
5/1/1998,134.3464966,14.86,118.3496006
6/1/1998,121.5568161,13.66,112.3688133
7/1/1998,113.8600006,14.08,106.6205354
8/1/1998,119.8919067,13.36,97.00328
9/1/1998,108.0723801,14.95,97.57113667
10/1/1998,107.0677261,14.39,112.1556683
11/1/1998,115.1447372,12.85,115.6113226
12/1/1998,116.0317612,11.28,111.8045875
1/1/1999,111.4768448,12.47,111.8932135
2/1/1999,103.2415789,12.01,104.278526
3/1/1999,103.2286957,14.66,104.5756704
4/1/1999,99.69428571,17.34,102.3311117
5/1/1999,108.908,17.75,99.61033063
6/1/1999,104.205,17.89,99.94277333
7/1/1999,90.84952381,20.07,93.01396762
8/1/1999,87.64,21.26,98.02208167
9/1/1999,81.05904762,23.88,94.79866
10/1/1999,92.19904762,22.64,88.55223667
11/1/1999,114.0173673,24.97,91.67544833
12/1/1999,123.5641176,26.08,90.43734652
1/1/2000,109.166,27.18,93.62286267
2/1/2000,101.6453333,29.35,98.16682944
3/1/2000,97.946,29.89,96.39621072
4/1/2000,92.564,25.74,94.43122333
5/1/2000,91.75727273,28.78,99.11204696
6/1/2000,84.10272727,31.83,103.366615
7/1/2000,84.67333333,29.77,97.12575889
8/1/2000,74.52478261,31.22,96.65181884
9/1/2000,73.8315,33.88,103.4421702
10/1/2000,75.37136364,33.08,107.775855
11/1/2000,70.4715,34.4,105.0367817
12/1/2000,64.49526316,28.46,113.7400202
1/1/2001,64.98428571,29.58,109.479425
2/1/2001,66.941,29.61,103.3231907
3/1/2001,65.92772727,27.24,105.571235
4/1/2001,65.50578947,27.41,106.1542027
5/1/2001,68.93863636,28.64,110.7741672
6/1/2001,63.6675,27.6,109.4261387
7/1/2001,58.47238095,26.45,108.3437117
8/1/2001,59.67695652,27.47,104.2242093
9/1/2001,57.712,25.88,103.176216
10/1/2001,56.53173913,22.21,104.8312786
11/1/2001,58.95578947,19.67,106.8015911
12/1/2001,55.599375,19.33,104.3703852
1/1/2002,57.33571429,19.67,106.1891967
2/1/2002,60.50947368,20.74,103.837602
3/1/2002,66.379,24.42,102.5515737
4/1/2002,65.77954545,26.27,104.8029583
5/1/2002,58.43227273,27.02,104.0964052
6/1/2002,55.163,25.52,115.411857
7/1/2002,53.08571429,26.94,132.6446367
8/1/2002,52.02318182,28.38,149.61353
9/1/2002,57.5775,29.67,173.3426217
10/1/2002,64.05304348,28.85,180.0439667
11/1/2002,70.18444444,26.27,164.279184
12/1/2002,63.86190476,29.42,149.1959883
1/1/2003,65.21857143,32.94,140.4832856
2/1/2003,67.595,35.87,141.6565044
3/1/2003,61.66190476,33.55,129.2458475
4/1/2003,65.322,28.25,126.0482737
5/1/2003,66.35894737,28.14,131.0524111
6/1/2003,61.34428571,30.72,118.1571338
7/1/2003,62.28619048,30.76,115.7759533
8/1/2003,63.598,31.59,133.4844919
9/1/2003,65.5075,28.29,130.6499805
10/1/2003,62.5826087,30.33,130.0566045
11/1/2003,62.36222222,31.09,141.347084
12/1/2003,65.01,32.15,145.0674954
1/1/2004,74.24631579,34.27,147.2896124
2/1/2004,77.50526316,34.74,141.7338595
3/1/2004,77.47,36.76,142.548725
4/1/2004,74.34473684,36.69,146.0648235
5/1/2004,75.80833333,40.28,143.1842674
6/1/2004,82.157,38.02,136.8614098
7/1/2004,73.96315789,40.69,132.387431
8/1/2004,73.16857143,44.94,122.05578
9/1/2004,80.98842105,45.95,126.8207655
10/1/2004,79.80904762,53.13,123.0562894
11/1/2004,89.50894737,48.46,127.1330867
12/1/2004,102.1946667,43.33,123.554573
1/1/2005,107.1052632,46.84,122.7789622
2/1/2005,122.23125,47.97,123.1299609
3/1/2005,134.7590909,54.31,129.9556683
4/1/2005,128.7947368,53.04,120.0643051
5/1/2005,126.1571429,49.83,119.1544619
6/1/2005,119.9825,56.26,122.4733217
7/1/2005,108.4515,58.7,130.1644392
8/1/2005,108.426087,64.97,131.5583022
9/1/2005,98.17428571,65.57,137.3863194
10/1/2005,106.0895238,62.37,143.0728392
11/1/2005,108.814,58.3,136.3539973
12/1/2005,102.6835714,59.43,139.99337
1/1/2006,124.3585,65.51,144.5679565
2/1/2006,118.5172222,61.63,158.8873502
3/1/2006,112.2034783,62.9,155.7931467
4/1/2006,114.7088235,69.69,161.2080028
5/1/2006,107.9636364,70.94,176.6034233
6/1/2006,101.2072727,70.96,176.920755
7/1/2006,102.7715,74.41,181.3483668
8/1/2006,112.1278261,73.05,165.1293783
9/1/2006,109.358,63.87,164.9423197
10/1/2006,110.9127273,58.88,182.432305
11/1/2006,123.5705,59.37,182.3010776
12/1/2006,129.95,62.03,179.5295553
1/1/2007,124.4645,54.57,172.5666305
2/1/2007,122.3447368,59.26,175.26729
3/1/2007,116.6145,60.56,173.313195
4/1/2007,114.5895,63.97,178.5558482
5/1/2007,112.52,63.46,178.0063633
6/1/2007,118.6705,67.48,206.5169037
7/1/2007,116.8009524,74.18,222.0017346
8/1/2007,123.6272727,72.39,240.6869922
9/1/2007,128.0352632,79.93,297.9524591
10/1/2007,134.57,86.2,303.6304907
11/1/2007,130.3321053,94.62,286.4956181
12/1/2007,136.4723077,91.73,339.2256959
1/1/2008,139.0535,92.95,336.1170651
2/1/2008,158.2095,95.35,393.8737348
3/1/2008,148.065,105.56,403.8128967
4/1/2008,137.7352381,112.57,326.8516167
5/1/2008,139.7371429,125.39,288.4202863
6/1/2008,144.079,133.93,314.15835
7/1/2008,145.3527273,133.44,299.42748
8/1/2008,145.7657895,116.61,304.1640727
9/1/2008,140.5572727,103.9,263.0496594
10/1/2008,121.4072727,76.65,202.774935
11/1/2008,120.4370588,57.44,194.1146296
12/1/2008,116.97125,41.02,188.8449497
1/1/2009,128.0278947,41.74,211.2760833
2/1/2009,128.5094118,39.16,195.2249026
3/1/2009,127.7640909,47.98,199.1005683
4/1/2009,134.5795238,49.79,200.8876467
5/1/2009,147.34,59.16,227.186091
6/1/2009,145.1731818,69.68,227.3146938
7/1/2009,137.8713636,64.09,195.3259917
8/1/2009,146.8657143,71.06,179.5540511
9/1/2009,145.6685714,69.46,156.9304506
10/1/2009,151.9495455,75.82,163.7264383
11/1/2009,150.2278947,78.08,177.6072814
12/1/2009,155.8614286,74.3,171.1554987
1/1/2010,154.4015789,78.22,167.8218628
2/1/2010,155.9242105,76.42,160.1615604
3/1/2010,162.1269565,81.24,156.464118
4/1/2010,171.0621053,84.48,156.8254687
5/1/2010,174.0094444,73.84,158.3284597
6/1/2010,193.5240909,75.35,149.21269
7/1/2010,205.2471429,76.37,182.7385022
8/1/2010,212.7995455,76.82,219.8774417
9/1/2010,222.1,75.31,240.4321828
10/1/2010,215.8371429,81.9,234.5995632
11/1/2010,227.9595,84.14,241.8401333
12/1/2010,237.328,89.04,274.4568182
1/1/2011,262.9447368,89.42,295.9886068
2/1/2011,288.0831579,89.58,317.6006514
3/1/2011,294.4834783,102.94,285.3758111
4/1/2011,302.7094737,110.04,307.2544084
5/1/2011,293.057619,101.33,307.1945503
6/1/2011,277.7777273,96.29,285.29787
7/1/2011,269.18,97.19,271.4622093
8/1/2011,273.5421739,86.33,288.6883083
9/1/2011,275.5845455,85.61,272.3405579
10/1/2011,248.4928571,86.41,251.5891348
11/1/2011,249.504,97.21,244.5378502
12/1/2011,243.1446667,98.57,236.0596865
1/1/2012,240.89,100.24,243.7023692
2/1/2012,225.494,102.25,245.9804765
3/1/2012,201.8509091,106.19,243.4935983
4/1/2012,193.351,103.33,228.0863108
5/1/2012,186.3459091,94.7,228.87964
6/1/2012,169.7895238,82.41,241.9657935
7/1/2012,190.7728571,87.93,310.7464381
8/1/2012,175.9669565,94.16,315.5482191
9/1/2012,179.6031579,94.72,316.6530516
10/1/2012,172.3740909,89.57,318.4078349
11/1/2012,160.6425,86.66,319.4599362
12/1/2012,154.63,88.25,303.0385561
1/1/2013,158.2728571,94.69,288.2103225
2/1/2013,152.9984211,95.32,271.6785887
3/1/2013,153.0115789,93.05,263.341859
4/1/2013,152.9595455,92.07,264.1702617
5/1/2013,151.4254545,94.8,276.0451467
6/1/2013,138.855,95.8,266.8508792
7/1/2013,138.4395238,104.61,257.4728933
8/1/2013,135.63,106.57,258.9259383
9/1/2013,132.78,106.29,257.499616
10/1/2013,128.8282609,100.54,278.1495567
11/1/2013,122.7484211,93.86,259.7777233
12/1/2013,126.7371429,97.63,246.1125787
1/1/2014,135.0333333,94.62,229.9803594
2/1/2014,176.2763158,100.82,242.7982816
3/1/2014,216.0595238,100.8,275.612494
4/1/2014,226.9852381,102.07,276.3823613
5/1/2014,215.2380952,102.18,287.9128738
6/1/2014,198.9109524,105.79,261.6499006
7/1/2014,198.5909091,103.59,238.549905
8/1/2014,214.5,96.54,229.1580011
9/1/2014,212.0052381,93.21,211.1711014
10/1/2014,227.0595652,84.4,210.7249283
11/1/2014,212.9261111,75.79,215.9879182
12/1/2014,200.59,59.29,234.8588367
1/1/2015,190.8983333,47.22,213.0214075
2/1/2015,179.94,50.58,201.7420688
3/1/2015,160.0222727,47.82,202.6914267
4/1/2015,164.9519048,54.45,195.9312283
5/1/2015,158.1733333,59.27,193.2165712
6/1/2015,159.7695455,59.82,199.8354417
7/1/2015,153.2922727,50.9,199.21748
8/1/2015,158.7761905,42.87,173.5175916
9/1/2015,147.6542857,45.48,164.0692202
10/1/2015,153.8831818,46.22,165.4514819
11/1/2015,148.9368421,42.44,157.8043789
12/1/2015,149.815,37.19,163.893455
1/1/2016,146.3215789,31.68,164.6116267
2/1/2016,148.94,30.32,159.283795
3/1/2016,156.9372727,37.55,164.0604717
4/1/2016,154.2019048,40.75,163.3868378
5/1/2016,155.4042857,46.71,157.5603421
6/1/2016,165.8490909,48.76,156.6950367
7/1/2016,172.3525,44.65,133.710203
8/1/2016,170.3421739,44.72,127.899911
9/1/2016,178.0709524,45.18,123.2487562
10/1/2016,178.6242857,49.78,122.5585002
11/1/2016,185.1275,45.66,122.5497977
12/1/2016,162.5576471,51.97,122.8463256
1/1/2017,167.8275,52.5,137.1457358
2/1/2017,165.5584211,53.47,147.3614421
3/1/2017,159.3886364,49.33,146.4314994
4/1/2017,155.9005263,51.06,138.4075907
5/1/2017,151.1786364,48.48,146.4402133
6/1/2017,144.0990909,45.18,157.2461917
7/1/2017,151.69,46.63,174.5324167
8/1/2017,154.5921739,48.04,139.0508151
9/1/2017,149.715,49.82,138.4133923
10/1/2017,143.1218182,51.58,133.344516
11/1/2017,144.24,56.64,138.0459557
12/1/2017,141.8328571,57.88,147.1032695
1/1/2018,144.1542857,63.7,156.3880441
2/1/2018,142.9268421,62.23,172.2891191
3/1/2018,140.2019048,62.73,180.9188159
4/1/2018,140.3685714,66.25,180.3764094
5/1/2018,141.6786364,69.98,192.70383
6/1/2018,139.8328571,67.87,193.0792198
7/1/2018,133.0352381,70.98,196.8060775
8/1/2018,128.5486957,68.06,211.2920588
9/1/2018,124.3873684,70.23,191.1444218
10/1/2018,140.5756522,70.75,188.4616067
11/1/2018,142.115,56.96,181.5523909
12/1/2018,130.72125,49.52,188.5358363
1/1/2019,132.6185714,51.38,188.8449497
2/1/2019,134.4794737,54.95,177.9167018
3/1/2019,129.4042857,58.15,164.5066448
4/1/2019,128.44,63.86,159.0300887
5/1/2019,127.7922727,60.83,158.281695
6/1/2019,137.965,54.66,174.6977632
7/1/2019,141.2852381,57.35,163.8767533
8/1/2019,134.4968182,54.81,149.363005
9/1/2019,136.415,56.95,146.5704863
10/1/2019,133.4291304,53.96,153.22109
